train_loss,train_acc,test_loss,test_acc
5.316422939300537,0.01204,16.131755828857422,0.0148
5.222929954528809,0.0157,5.707827568054199,0.0192
5.176801681518555,0.01908,11.660992622375488,0.0166
5.110921859741211,0.02184,5.107970237731934,0.0301
5.064579963684082,0.02602,5.1478800773620605,0.0325
4.9519805908203125,0.03606,5.470736980438232,0.0354
4.898279666900635,0.0476,49.36113357543945,0.0404
4.832307815551758,0.0531,4.3462677001953125,0.0677
4.437054634094238,0.07334,4.31815242767334,0.0838
4.347993850708008,0.08978,737.4813232421875,0.0505
4.280548095703125,0.0942,3.9044926166534424,0.1304
4.049479961395264,0.12822,3.8080525398254395,0.1563
3.9840424060821533,0.14662,3.671372175216675,0.1715
3.875673770904541,0.16398,4.3720269203186035,0.1716
3.8424787521362305,0.1791,20.74846076965332,0.1943
3.745112657546997,0.19972,3.2843568325042725,0.2254
3.6109297275543213,0.21658,3.2088401317596436,0.2318
3.540447235107422,0.23298,3.1922991275787354,0.2714
3.3868472576141357,0.25258,3.2980804443359375,0.2811
3.241098403930664,0.27426,3.6478328704833984,0.2969
3.153594493865967,0.29312,3.041161298751831,0.3113
3.1020495891571045,0.30436,3.1118075847625732,0.326
3.005682945251465,0.32584,3.2261383533477783,0.3396
2.8375914096832275,0.34376,16.962425231933594,0.3466
2.78859281539917,0.36584,3.0454699993133545,0.3723
2.657825231552124,0.3853,5.709249973297119,0.3544
2.579540967941284,0.40378,2.8014917373657227,0.3993
2.4128997325897217,0.4273,2.5583300590515137,0.4035
2.3451406955718994,0.4475,2.4598166942596436,0.4202
2.202895402908325,0.46798,3.887148380279541,0.4242
2.0791397094726562,0.4932,4.184560298919678,0.4282
2.122281789779663,0.48578,2.214812994003296,0.4358
2.0332255363464355,0.49462,7.074855804443359,0.4241
1.8661885261535645,0.51952,2.876523494720459,0.387
1.852237582206726,0.52976,2.5485074520111084,0.4359
1.7263630628585815,0.55466,2.251844882965088,0.4648
1.4870718717575073,0.5983,2.739027976989746,0.4407
1.540959119796753,0.59998,2.857138156890869,0.4453
1.3640532493591309,0.6377,2.263714551925659,0.4605
1.2633640766143799,0.6565,2.5536739826202393,0.4567
1.133244514465332,0.6848,2.4421277046203613,0.4578
1.0569216012954712,0.69834,2.436302900314331,0.4608
0.9226118326187134,0.7235,2.61047625541687,0.4534
0.8151305913925171,0.74614,2.8352127075195312,0.4413
0.6739285588264465,0.78794,2.6339519023895264,0.4613
0.5662105083465576,0.81932,2.6343698501586914,0.4661
0.47147056460380554,0.85026,2.7157671451568604,0.455
0.37545737624168396,0.87894,2.874499559402466,0.4592
0.32304102182388306,0.89534,2.824463129043579,0.4693
0.2942039370536804,0.90708,2.8242061138153076,0.4643
0.23090317845344543,0.92884,2.837376117706299,0.4661
0.20128589868545532,0.93756,3.1072967052459717,0.4627
0.159612238407135,0.95288,2.8631432056427,0.4756
0.13573014736175537,0.96014,2.8223156929016113,0.4788
0.12042871862649918,0.96432,2.9515042304992676,0.4702
0.11257532238960266,0.96748,2.9721908569335938,0.4718
0.08669815212488174,0.97686,2.924201726913452,0.475
0.07507729530334473,0.98018,2.957028865814209,0.4765
0.06831230223178864,0.98272,2.9816713333129883,0.4833
0.05526350438594818,0.98666,2.942573308944702,0.4798
0.04495964199304581,0.98982,3.033257246017456,0.4724
0.04142564907670021,0.99142,2.8906781673431396,0.4806
0.03752085193991661,0.99172,2.943495035171509,0.4849
0.02873583883047104,0.99408,2.9291672706604004,0.4892
0.02111317217350006,0.99642,2.8684606552124023,0.4912
0.015432526357471943,0.99796,2.8206167221069336,0.4984
0.014733332209289074,0.99782,2.858388662338257,0.4907
0.012048063799738884,0.99848,2.7969448566436768,0.4962
0.008303262293338776,0.9992,2.795567750930786,0.5005
0.008141216821968555,0.99906,2.7311956882476807,0.5029
0.007214073557406664,0.99932,2.7561872005462646,0.5
0.006548356730490923,0.9993,2.730321168899536,0.5036
0.005540798418223858,0.99952,2.733896255493164,0.4984
0.005502040032297373,0.99954,2.7186381816864014,0.5013
0.006503740791231394,0.9993,2.68743634223938,0.4995
0.0045879608951509,0.99966,2.677464723587036,0.4986
0.004944948945194483,0.99956,2.6857619285583496,0.4997
0.004566516261547804,0.99966,2.668222188949585,0.4952
0.004516602959483862,0.99958,2.6268322467803955,0.5017
0.00396885396912694,0.99956,2.59604811668396,0.5022
0.0038937365170568228,0.99966,2.59987735748291,0.4976
0.004180509597063065,0.99966,2.609792947769165,0.4971
0.004041202366352081,0.9996,2.5630924701690674,0.5
0.004127221181988716,0.99964,2.557499885559082,0.5001
0.004947347100824118,0.99956,2.5416781902313232,0.4993
0.004322373773902655,0.99968,2.5532500743865967,0.5018
0.004516709130257368,0.99962,2.5364370346069336,0.5021
0.0045339795760810375,0.9996,2.5355355739593506,0.4973
0.00500511983409524,0.9996,2.5129921436309814,0.4972
0.004941319581121206,0.99956,2.4961392879486084,0.4981
0.0043367650359869,0.99966,2.4948837757110596,0.4945
0.005076409783214331,0.99966,2.486757755279541,0.4959
0.004344001412391663,0.99964,2.511789321899414,0.4967
0.004465795122087002,0.99966,2.462047815322876,0.4959
0.005384235177189112,0.99958,2.475497245788574,0.4925
0.005180036649107933,0.99962,2.4687163829803467,0.4942
0.004518405068665743,0.9997,2.4697206020355225,0.4912
0.004493487533181906,0.99966,2.4638752937316895,0.4909
0.004505468998104334,0.99964,2.460916519165039,0.4898
0.004641178995370865,0.99962,2.459380626678467,0.4904
